name,Position,club status,Foreign,age at debut,birth quarter,Height,International,Weights,Market value on debut,pro debut?,nation status,assists,goals,awards,FDB rank,Overall,potential,weak_foot,skill_moves,pace/diving,shooting/handling,passing/kicking,dribbling/reflexes,defending/Speed,physical/positioning,success,,Premier apps
Harvey Elliott,Winger,0,0,16.01,3,162,11,65,1.8,1,0,5,11,0,3532,64,87,4,3,75,53,58,69,30,37,0,,10
Izzy Brown,Winger,1,0,16.03,2,180,18,69,0.225,1,1,1,5,0,300,70,80,3,3,74,65,65,75,43,64,0,,15
Rushian Hepburn-Murphy,STR,0,0,16.06,4,173,4,68,0.225,1,1,1,4,1,1351,61,76,3,3,80,62,47,65,26,45,0,,2
Reece Oxford06 ,CDM,0,0,16.07,2,193,21,21,0.675,1,1,2,5,0,5607,66,86,3,2,71,33,50,53,65,67,0,,8
Jack Robinson ,FB,1,0,16.08,1,180,6,70,0.045,1,1,4,3,0,-2000,61,74,3,2,69,37,57,56,62,60,0,,20
Angel Gomes ,CAM,1,0,16.08,4,159,21,63,0.15,1,1,10,22,0,-581,63,79,4,3,80,59,58,68,20,42,0,,5
Jonathan Leko,Winger,0,1,16.11,3,182,24,71,0.105,1,1,7,5,0,3311,64,82,4,3,88,63,47,68,23,61,0,,14
Patrick Roberts ,Winger,0,0,17.01,2,167,16,69,0.5,1,1,3,11,0,1326,67,83,2,3,77,55,64,76,25,36,0,,6
Adam Armstrong,STR,0,0,17.01,2,161,18,62,0.225,1,1,5,29,0,2629,60,80,3,2,72,62,54,62,30,56,0,,38
Ben Woodburn05,Winger,1,0,17.01,1,173,14,67,0.445,1,0,13,20,1,8719,61,78,4,3,81,61,53,61,21,53,0,,6
Callum Hudson-Odoi,Winger,1,0,17.02,1,172,24,74,2.25,1,1,9,29,1,13818,63,85,3,3,78,58,61,64,31,61,1,,72
Ethan Ampadu,CB,1,0,17.02,1,180,8,71,3.5,1,0,0,2,0,5604,58,84,3,2,60,29,51,56,56,61,0,,26
Raheem Sterling ,Winger,1,0,17.03,2,168,20,71,2.25,1,1,9,7,1,24096,76,84,3,4,91,63,66,81,46,50,1,,320
Serge Gnabry ,Winger,1,1,17.03,4,171,17,67,0.45,1,1,3,3,0,1625,70,82,3,3,84,60,65,75,43,63,1,,11
Luke Shaw ,FB,0,0,17.03,4,180,21,77,1.5,1,1,2,2,0,2507,58,83,3,2,70,31,49,60,58,62,1,,208
Ainsley Maitland-Niles  03,Winger,1,0,17.03,4,175,0,71,0.225,1,1,2,0,0,1552,64,82,4,3,78,55,60,66,39,58,1,,87
Oliver Shenton ,CAM,0,0,17.03,1,175,0,73,0.02,1,1,2,5,0,2051,62,74,3,3,60,54,63,66,50,55,0,,1
Joel Asoro,STR,0,1,17.03,3,175,27,75,0.225,1,0,1,26,1,1648,63,80,3,3,88,61,51,70,23,53,0,,1
Bukayo Saka ,Winger,1,0,17.03,1,178,30,72,3.4,1,1,16,20,0,3696,65,86,4,3,84,61,58,67,37,60,1,,97
Moussa Dembélé ,STR,0,1,17.04,4,187,17,79,0.225,1,1,1,16,0,-1079,64,80,3,3,81,62,48,64,28,63,0,,2
Tyler Roberts,STR,0,0,17.04,2,179,11,77,3.6,1,0,6,13,0,7822,62,80,3,3,78,61,51,64,25,55,0,,51
Adam Henley,FB,0,0,17.05,4,178,14,70,0.04,1,0,6,5,0,-725,66,75,3,2,65,33,57,57,69,67,0,,7
Jordon Ibe ,Winger,1,0,17.05,2,169,2,76,0.45,1,1,9,6,0,3682,59,75,4,2,80,59,42,65,21,56,1,,119
Josh Tymon,FB,0,0,17.05,3,180,3,70,0.05,1,1,0,2,0,3057,58,76,2,2,65,28,47,60,56,51,0,,8
Rekeem Harper ,CM,0,0,17.05,3,183,1,72,0.09,1,1,0,4,0,138,61,84,3,3,59,48,59,59,53,49,0,,3
Mason Greenwood,Winger,1,0,17.05,1,180,11,74,6.3,1,0,10,41,1,105,66,86,5,3,77,65,60,66,34,60,1,,83
Josh McEachran  ,CM,1,0,17.06,3,178,17,68,0.9,1,1,5,1,1,6705,67,77,3,3,73,63,66,67,38,49,0,,15
Phil Foden ,CAM,1,0,17.06,3,166,31,62,2.5,1,1,13,36,1,3495,65,84,3,3,74,56,62,65,50,44,1,,97
Michael Obafemi,STR,0,1,17.06,4,58,4,71,0.45,1,0,7,25,0,29,62,77,3,2,71,60,48,60,23,46,0,,32
Lennard Sowah,FB,0,1,17.07,4,184,2,72,0.09,1,1,1,0,0,1555,62,78,3,2,77,49,66,63,59,63,0,,5
Andre Green,Winger,0,0,17.07,4,180,0,68,0.09,1,1,8,7,0,468,63,79,3,3,79,58,57,65,36,51,0,,7
Liam Delap,STR,1,0,17.07,2,186,13,74,0.45,1,1,7,22,0,-5,63,84,3,2,78,62,47,61,23,56,0,,2
Ross Barkley ,CAM,0,0,17.08,2,183,26,79,0.27,1,1,3,11,1,3945,69,80,4,3,79,61,68,67,43,74,1,,232
Louis Moult,STR,0,0,17.09,3,183,0,70,0.045,1,1,0,7,0,-498,58,72,3,1,59,45,55,31,41,60,0,,1
James Ward-Prowse  ,CM,0,0,17.09,1,173,7,70,0.45,1,1,1,3,1,3797,64,84,3,3,69,49,61,68,51,61,1,,305
Tom Davies ,CM,0,0,17.09,4,178,27,69,0.45,1,1,3,2,0,2845,50,57,2,2,68,27,29,34,50,63,1,,136
Bruno Andrade,Winger,0,1,17.1,1,175,0,66,0.045,1,0,0,0,0,361,58,78,3,3,73,54,61,69,43,48,0,,1
Nathan Aké ,CB,1,1,17.1,2,180,46,75,1.35,1,1,4,10,1,2233,59,84,3,2,76,52,58,64,60,60,1,,170
Chuba Akpom ,STR,1,0,17.11,1,181,22,74,0.225,1,1,3,21,0,142,59,75,3,2,87,57,51,61,29,61,0,,4
James Garner ,CDM,1,0,17.11,3,182,16,63,0.115,1,1,9,5,0,-16,67,84,3,2,67,61,63,63,63,64,0,,2
Troy Parrott,STR,0,0,17.11,2,184,15,72,1.35,1,1,10,34,0,329,64,85,4,3,76,64,53,62,26,58,0,,2
Mark Cullen,STR,0,0,18,3,175,0,70,0.045,1,1,0,3,0,1001,59,65,2,3,69,56,50,58,36,58,0,,3
Alex Oxlade-Chamberlain  ,CM,1,0,18,4,174,4,74,12.42,0,1,9,10,1,16425,69,82,3,3,89,57,63,71,27,55,1,,226
Anthony Forde06 ,Winger,0,0,18,1,186,1,69,0.09,1,1,10,5,0,911,60,72,2,3,70,54,54,65,31,47,0,,6
Kerim Frei09 00,Winger,0,1,18,1,171,7,66,0.225,1,0,5,9,0,2500,59,71,3,3,77,52,59,53,59,55,0,,23
Karim Rekik,CB,1,1,18,2,186,26,77,0.45,0,1,6,4,0,1584,73,84,4,3,73,38,55,59,72,77,0,,1
Tom James,FB,0,0,18,3,180,0,72,0.045,1,0,6,0,0,-369,58,64,3,2,58,31,34,41,62,50,0,,1
Sam Field ,CM,0,0,18,3,191,1,80,0.225,1,1,2,4,0,1366,72,62,3,3,64,49,60,62,52,53,0,,22
Jarrad Branthwaite,CB,0,0,18,4,195,0,79,0.225,1,1,1,4,0,3964,49,64,2,2,59,19,27,26,48,55,0,,10
